1st_choice,2nd_choice,3rd_choice,ssc_or_olevel,hsc_or_alevel,medium,ssc_board,hsc_board,registered_program,target_dept
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
BBA-1,ECO-2,,5,5,ban,Rajshahi,Rajshahi,BBA,Brac_Business_School
LLB-1,ENG-2,,4.63,4.6,ban,Dhaka,Dhaka,LLB,School_of_Law
LLB-1,ENG-2,,5,4.8,ban,Dhaka,Dhaka,LLB,School_of_Law
PHR-1,EEE-2,CSE-3,5,4,ban,Dhaka,Dhaka,PHR,Pharmacy
BBA-1,CS-2,,5,4.2,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BBA-1,ENG-2,,4.06,,ban,Dhaka,Dhaka,BBA,Brac_Business_School
EEE-1,ECE-2,,5,4.7,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
CSE-1,ECE-2,,4.81,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
BBA-1,ECO-2,CSE-3,4.75,5,ban,Dhaka,Dhaka,ECO,ESS
BBA-1,ENG-2,,4.13,4.7,ban,Dhaka,Dhaka,ENG,ENH
CSE-1,ECE-2,,5,3.4,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
PHR-1,CSE-2,BIO-3,5,5,ban,Comilla,Dhaka,BIO,MNS
ENG-1,BBA-2,ECO-3,5,4.8,ban,Dhaka,Dhaka,ENG,ENH
LLB-1,BBA-2,ECO-3,4.75,4.9,ban,Dhaka,Dhaka,LLB,School_of_Law
ECO-1,BBA-2,ENG-3,4.83,2.5,eng,,,ECO,ESS
CSE-1,ECO-2,BBA-3,5,3.5,eng,,,MIC,MNS
BIO-1,ECO-2,MIC-3,5,4.8,ban,Dhaka,Dhaka,BIO,MNS
ARC-1,EEE-2,ECE-3,5,4,ban,Jessore,Jessore,ARC,Architecture
EEE-1,ECE-2,,4.38,4,eng,,,EEE,ElectricalandElectronicEngr
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CS-1,CSE-2,ENG-3,4.7,4,eng,,,CS,ComputerSciandEngr
ARC-1,EEE-2,,4.38,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ECE-1,ARC-2,,4.88,4.8,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,,ban,Dhaka,,CSE,ComputerSciandEngr
LLB-1,ANT-2,,,,ban,,,ECO,ESS
ARC-1,ECO-2,LLB-3,5,4.7,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,ECO-2,,3.2,3,eng,,,BBA,Brac_Business_School
EEE-1,APE-2,ECE-3,5,3.5,eng,,,ECE,ElectricalandElectronicEngr
EEE-1,CSE-2,,4.8,4.5,eng,,,EEE,ElectricalandElectronicEngr
CS-1,EEE-2,,4.67,4.67,eng,,,CS,ComputerSciandEngr
PHR-1,MIC-2,CSE-3,5,5,eng-ver,Dhaka,Dhaka,MIC,MNS
BIO-1,PHR-2,MIC-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
ARC-1,EEE-2,,5,4.7,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ECE-1,BBA-2,,5,4.8,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
BBA-1,CS-2,,5,4.4,ban,Chittagong,Chittagong,BBA,Brac_Business_School
ECO-1,BBA-2,,,,ban,,,ECO,ESS
ARC-1,EEE-2,PHR-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ECE-1,CSE-2,,4.81,,eng-ver,Dhaka,Dhaka,CSE,ComputerSciandEngr
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
CSE-1,EEE-2,,5,4,ban,Comilla,Comilla,CSE,ComputerSciandEngr
BIO-1,PHR-2,MIC-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
EEE-1,CSE-2,PHR-3,5,4.6,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
EEE-1,BIO-2,,5,4.5,eng,,,BIO,MNS
CSE-1,EEE-2,,5,3.8,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
APE-1,BIO-2,EEE-3,5,5,eng,,,APE,MNS
CSE-1,EEE-2,ECE-3,5,4.6,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
CS-1,ECE-2,EEE-3,5,4.8,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
ARC-1,CSE-2,ECE-3,,,ban,,,ARC,Architecture
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,ARC,Architecture
BBA-1,LLB-2,ENG-3,4.56,4.9,ban,Dhaka,Dhaka,LLB,School_of_Law
ENG-1,BBA-2,ECO-3,4.13,3.3,ban,Dhaka,Dhaka,ENG,ENH
ENG-1,ECO-2,ANT-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
CSE-1,EEE-2,,4.81,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,ECE-2,,5,4.1,eng-ver,Dhaka,Dhaka,CSE,ComputerSciandEngr
ENG-1,BBA-2,ECO-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
ENG-1,LLB-2,BBA-3,4.19,4.6,ban,Dhaka,Dhaka,ENG,ENH
BIO-1,PHR-2,MIC-3,4.4,4.13,eng,,,BIO,MNS
EEE-1,CSE-2,,4.56,3.9,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
EEE-1,CS-2,CSE-3,5,4.8,ban,Dinajpur,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,BIO-2,ENG-3,,,ban,,,BIO,MNS
PHR-1,CSE-2,,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,ARC-2,PHR-3,5,5,ban,Jessore,Dhaka,PHR,Pharmacy
BBA-1,LLB-2,ENG-3,4.81,4.5,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,MIC-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
LLB-1,MIC-2,ARC-3,4.88,4,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,BIO-2,MIC-3,5,4.5,ban,Dhaka,Dhaka,ARC,Architecture
CSE-1,MIC-2,BBA-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ECE-1,APE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
LLB-1,BBA-2,PHR-3,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,ECO-2,MAT-3,,,ban,,,ECO,ESS
BBA-1,ENG-2,,,,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,EEE-2,ECE-3,5,4.5,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
CS-1,CSE-2,ECE-3,5,5,eng-ver,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
ECO-1,CS-2,MAT-3,5,3.5,eng,,,MAT,MNS
EEE-1,ECE-2,CS-3,5,4.8,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ENG-1,PHY-2,APE-3,4.88,3.3,eng,,,APE,MNS
MIC-1,PHR-2,BIO-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
PHY-1,,,5,4.5,eng,,,PHY,MNS
LLB-1,BIO-2,MIC-3,5,,eng,,,LLB,School_of_Law
ECO-1,ENG-2,LLB-3,4.75,5,ban,Dhaka,Dhaka,ECO,ESS
CS-1,CSE-2,,,,ban,,,CS,ComputerSciandEngr
ENG-1,LLB-2,BIO-3,5,4.5,ban,Dinajpur,Dinajpur,ENG,ENH
ARC-1,ECE-2,EEE-3,5,5,eng,,,ARC,Architecture
ECO-1,ARC-2,CSE-3,5,4.7,ban,Dhaka,Dhaka,ECO,ESS
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BBA-1,ENG-2,,5,,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ECO-1,ARC-2,,5,3,eng,,,ARC,Architecture
CS-1,EEE-2,ECE-3,5,4.7,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
PHR-1,BIO-2,MIC-3,5,4.5,ban,Sylhet,Sylhet,PHR,Pharmacy
ARC-1,ECE-2,CSE-3,,,ban,,,CS,ComputerSciandEngr
LLB-1,ARC-2,,5,4.6,ban,Dhaka,Dhaka,LLB,School_of_Law
PHR-1,MIC-2,,5,5,ban,Dinajpur,Dhaka,BIO,MNS
MIC-1,BIO-2,ARC-3,5,5,eng,,,MIC,MNS
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
BBA-1,LLB-2,,4.94,4.9,ban,Comilla,Dhaka,BBA,Brac_Business_School
ECO-1,ENG-2,,5,5,ban,Dhaka,Dhaka,ECO,ESS
ARC-1,LLB-2,,4.44,3.6,ban,Dhaka,Dhaka,LLB,School_of_Law
BIO-1,MIC-2,ARC-3,5,5,eng,,,BIO,MNS
ECO-1,BBA-2,MAT-3,,,ban,,,ECO,ESS
BIO-1,CS-2,,4.2,2.5,eng,,,CS,ComputerSciandEngr
EEE-1,ECE-2,BBA-3,,,ban,,,ECO,ESS
MIC-1,BIO-2,BBA-3,5,4.33,ban,,,MIC,MNS
CSE-1,ARC-2,,,,ban,,,CS,ComputerSciandEngr
BBA-1,LLB-2,ECO-3,5,5,ban,Chittagong,Chittagong,ECO,ESS
CSE-1,ARC-2,EEE-3,5,4.9,ban,Comilla,Comilla,ARC,Architecture
BIO-1,CSE-2,ENG-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
MIC-1,BIO-2,BBA-3,4.38,5,ban,Comilla,Dhaka,MIC,MNS
ARC-1,EEE-2,,,,ban,,,ARC,Architecture
BBA-1,ECO-2,ENG-3,5,4.9,ban,Dhaka,Dhaka,ECO,ESS
CSE-1,EEE-2,,5,4.5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BIO-1,PHR-2,,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ECO-1,EEE-2,CSE-3,5,5,eng,,,ECO,ESS
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
LLB-1,PHR-2,,5,4.9,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ECO-2,,,,ban,,,BBA,Brac_Business_School
CSE-1,ENG-2,,5,4.5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
EEE-1,APE-2,,5,4.4,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,CSE-2,ENG-3,5,4.7,ban,Dhaka,Dhaka,ARC,Architecture
CSE-1,EEE-2,ECE-3,5,4.6,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
CSE-1,ECE-2,PHR-3,5,5,ban,,,ECE,ElectricalandElectronicEngr
BBA-1,LLB-2,ENG-3,4.31,4.3,ban,Dhaka,Dhaka,ENG,ENH
PHR-1,MIC-2,BIO-3,,,ban,,,PHR,Pharmacy
CSE-1,ECO-2,,,,ban,,,CS,ComputerSciandEngr
ENG-1,LLB-2,ECO-3,4.94,5,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ECO-2,,,,ban,,,BBA,Brac_Business_School
PHR-1,EEE-2,CSE-3,4.44,4.7,ban,Dhaka,Dhaka,PHR,Pharmacy
EEE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,CSE-2,CS-3,,,ban,,,CS,ComputerSciandEngr
BIO-1,MIC-2,,,,ban,,,BIO,MNS
ARC-1,BBA-2,,,,ban,,,ARC,Architecture
CSE-1,EEE-2,APE-3,,,ban,,,CS,ComputerSciandEngr
EEE-1,CSE-2,,5,4,ban,Chittagong,Chittagong,CS,ComputerSciandEngr
CSE-1,EEE-2,CS-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ENG-1,BBA-2,,5,4.8,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ENG-2,LLB-3,4.44,4.2,ban,Chittagong,Dhaka,LLB,School_of_Law
EEE-1,ARC-2,,5,4.5,ban,Rajshahi,Rajshahi,CSE,ComputerSciandEngr
BIO-1,MIC-2,,,,ban,,,BIO,MNS
PHY-1,APE-2,CSE-3,5,,eng,,,PHY,MNS
BBA-1,LLB-2,,3.81,3.7,ban,Chittagong,Chittagong,BBA,Brac_Business_School
ARC-1,LLB-2,,5,5,ban,Dhaka,Dhaka,APE,MNS
PHY-1,MAT-2,APE-3,5,5,ban,Dhaka,Dhaka,PHY,MNS
BIO-1,MIC-2,ANT-3,5,5,eng,,,BIO,MNS
ECE-1,CSE-2,EEE-3,5,4.17,ban,,,ECE,ElectricalandElectronicEngr
ECO-1,EEE-2,CSE-3,5,4.7,ban,Comilla,Comilla,CS,ComputerSciandEngr
ARC-1,CSE-2,ECE-3,4.75,5,ban,Dhaka,Dhaka,ARC,Architecture
BBA-1,ECO-2,,4.38,4.9,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ECO-1,BBA-2,ANT-3,4.2,2.5,eng,,,ECO,ESS
CSE-1,CS-2,,5,,eng,,,CS,ComputerSciandEngr
LLB-1,ECO-2,,4.69,4.4,ban,Dhaka,Dhaka,LLB,School_of_Law
ARC-1,EEE-2,ECE-3,5,4.6,eng,,,ARC,Architecture
CSE-1,PHR-2,EEE-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ARC-1,CSE-2,,4.88,5,ban,Dhaka,Dhaka,APE,MNS
ECE-1,MIC-2,LLB-3,5,5,ban,Dinajpur,Dinajpur,MIC,MNS
CS-1,MAT-2,ECO-3,5,4.5,eng,,,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
BBA-1,LLB-2,,4.44,4.4,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BBA-1,ENG-2,ECO-3,4.69,5,ban,Dhaka,Dhaka,ENG,ENH
PHR-1,BIO-2,MIC-3,5,4.7,ban,Dhaka,Dhaka,PHR,Pharmacy
BIO-1,PHR-2,MIC-3,5,5,ban,Comilla,Dhaka,BIO,MNS
LLB-1,ENG-2,,4.8,3.9,ban,Dhaka,Dhaka,LLB,School_of_Law
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
PHR-1,MIC-2,BIO-3,4.8,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ENG-1,LLB-2,,5,3.4,madrasah,Madrasah,Jessore,ENG,ENH
BBA-1,ENG-2,LLB-3,5,4.9,eng-ver,Dhaka,Dhaka,ENG,ENH
EEE-1,PHR-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
EEE-1,BIO-2,,5,3.9,ban,Comilla,Comilla,EEE,ElectricalandElectronicEngr
PHR-1,,,4.94,4,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,CSE-2,EEE-3,5,4.9,ban,Dhaka,Dhaka,ARC,Architecture
EEE-1,CSE-2,ECE-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
CSE-1,CS-2,ECO-3,5,4.8,ban,Comilla,Dhaka,ECO,ESS
BBA-1,ECO-2,ENG-3,4.31,4.2,ban,Dhaka,Dhaka,ENG,ENH
ECO-1,BIO-2,PHR-3,5,4.5,eng,,,BIO,MNS
BIO-1,CSE-2,EEE-3,4.56,4.1,ban,Comilla,Comilla,BIO,MNS
PHR-1,EEE-2,BIO-3,5,5,ban,Dhaka,Dhaka,ECO,ESS
BBA-1,ENG-2,,4,2.5,eng,,,BBA,Brac_Business_School
ECE-1,CSE-2,BIO-3,4.88,4.9,ban,Dhaka,Dhaka,BIO,MNS
ECO-1,BBA-2,ANT-3,5,5,ban,Dhaka,Dhaka,ECO,ESS
PHR-1,BBA-2,BIO-3,5,4.5,ban,Dhaka,Dhaka,PHR,Pharmacy
BBA-1,ECO-2,LLB-3,4.69,4.2,ban,Dhaka,Dhaka,LLB,School_of_Law
EEE-1,CSE-2,ECE-3,,,ban,,,EEE,ElectricalandElectronicEngr
LLB-1,,,4.81,5,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,EEE-2,CSE-3,5,4.8,ban,Sylhet,Sylhet,CS,ComputerSciandEngr
BIO-1,MIC-2,ECO-3,4.86,5,eng,,,BIO,MNS
ECO-1,LLB-2,CSE-3,4.67,4,eng,,,ECO,ESS
BBA-1,ENG-2,,4.88,5,ban,Comilla,Dhaka,BBA,Brac_Business_School
ARC-1,ECE-2,,5,4.8,ban,Dhaka,Dhaka,ARC,Architecture
MIC-1,PHR-2,ENG-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,ECE-2,,5,4.5,eng,,,CSE,ComputerSciandEngr
ARC-1,CS-2,,5,5,ban,Dhaka,Dhaka,ARC,Architecture
CSE-1,BBA-2,ARC-3,,,ban,,,CS,ComputerSciandEngr
PHR-1,MIC-2,,5,4.9,ban,Dhaka,Dhaka,MIC,MNS
CSE-1,ECE-2,EEE-3,5,4.08,ban,Chittagong,Chittagong,ECE,ElectricalandElectronicEngr
ECO-1,LLB-2,ENG-3,4.6,3.3,eng,,,ECO,ESS
ENG-1,ANT-2,ECO-3,4.69,4.4,eng-ver,Dhaka,Dhaka,ENG,ENH
CSE-1,ECE-2,EEE-3,4.6,3,eng,,,ECE,ElectricalandElectronicEngr
CSE-1,EEE-2,,5,3.9,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CS-1,BBA-2,ECO-3,,,ban,,,CS,ComputerSciandEngr
CSE-1,PHY-2,,,,ban,,,CS,ComputerSciandEngr
ARC-1,MIC-2,BIO-3,4.94,5,ban,Dhaka,Dhaka,MIC,MNS
BBA-1,MIC-2,BIO-3,5,4.2,ban,Dhaka,Dhaka,MIC,MNS
MIC-1,ENG-2,ECO-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
CSE-1,ECE-2,APE-3,5,5,ban,Barisal,Barisal,ECE,ElectricalandElectronicEngr
MIC-1,PHR-2,,5,4,ban,Barisal,Dhaka,MIC,MNS
EEE-1,CSE-2,,4.81,3.2,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,EEE-2,ARC-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,CS-2,,,,ban,,,CS,ComputerSciandEngr
BBA-1,ECE-2,APE-3,5,3.9,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
BIO-1,PHR-2,CSE-3,4.75,4.4,ban,Dhaka,Dhaka,BIO,MNS
ENG-1,LLB-2,,5,4.7,ban,Dhaka,Rajshahi,ENG,ENH
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,eng,,,CSE,ComputerSciandEngr
ECE-1,CS-2,EEE-3,5,4.08,ban,Barisal,Dhaka,ECE,ElectricalandElectronicEngr
LLB-1,ENG-2,,5,5,ban,Dinajpur,Dinajpur,LLB,School_of_Law
LLB-1,PHR-2,BBA-3,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,CS-2,,5,5,ban,Rajshahi,Dinajpur,CSE,ComputerSciandEngr
ECO-1,EEE-2,ARC-3,5,5,ban,Dhaka,Dhaka,ECO,ESS
EEE-1,APE-2,ARC-3,5,3,eng,,,ARC,Architecture
EEE-1,PHR-2,,5,4.6,ban,Dhaka,Dhaka,PHR,Pharmacy
MIC-1,BIO-2,CSE-3,5,4.7,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,EEE-2,APE-3,,,eng-ver,,,ARC,Architecture
BBA-1,ECO-2,,5,4.4,ban,Comilla,Comilla,BBA,Brac_Business_School
ECO-1,BBA-2,,,,ban,,,ECO,ESS
CSE-1,PHR-2,,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
CSE-1,PHR-2,,5,4.4,ban,Comilla,Comilla,CSE,ComputerSciandEngr
BBA-1,ECO-2,,4.4,3.5,eng,,,ECO,ESS
MIC-1,PHR-2,BIO-3,5,5,ban,,,MIC,MNS
EEE-1,PHR-2,,,,ban,,,EEE,ElectricalandElectronicEngr
ARC-1,CSE-2,,5,4,eng,,,ARC,Architecture
EEE-1,CSE-2,ECE-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
PHR-1,MIC-2,,5,5,eng-ver,Jessore,Jessore,PHR,Pharmacy
PHR-1,ECE-2,BBA-3,5,4.9,ban,Comilla,Dhaka,PHR,Pharmacy
ECO-1,BBA-2,LLB-3,4.4,5,eng,,,ECO,ESS
MIC-1,BIO-2,PHR-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
PHR-1,CSE-2,ENG-3,5,,ban,Dhaka,,PHR,Pharmacy
BBA-1,ECO-2,,,,ban,,,BBA,Brac_Business_School
BBA-1,ECO-2,,4.75,4.8,eng-ver,Dhaka,Dhaka,BBA,Brac_Business_School
ARC-1,EEE-2,CSE-3,5,5,ban,Chittagong,Chittagong,ARC,Architecture
ENG-1,BBA-2,ECO-3,3.6,2.5,eng,,,ENG,ENH
